GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Santorini,edu.cmu.cs214.hw3,Game,364,154,39,5,63,37,31,11,10,10
Santorini,edu.cmu.cs214.hw3,Main,13,0,0,0,4,0,2,0,2,0
Santorini,edu.cmu.cs214.hw3,UI,290,25,28,2,84,6,18,2,4,1
Santorini,edu.cmu.cs214.hw3,Board,60,103,12,14,15,18,12,7,2,4
Santorini,edu.cmu.cs214.hw3,Tower,6,52,5,5,2,15,6,6,1,6
Santorini,edu.cmu.cs214.hw3,Board2,53,0,0,0,10,0,5,0,5,0
Santorini,edu.cmu.cs214.hw3,App.Test,5,0,0,0,2,0,2,0,2,0
Santorini,edu.cmu.cs214.hw3,Cell,79,0,0,0,16,0,8,0,8,0
Santorini,edu.cmu.cs214.hw3,BoardState,3,0,0,0,1,0,1,0,1,0
Santorini,edu.cmu.cs214.hw3,Game2,271,0,40,0,42,0,28,0,8,0
Santorini,edu.cmu.cs214.hw3,Player2,25,0,0,0,5,0,2,0,2,0
Santorini,edu.cmu.cs214.hw3,GameState,95,0,10,0,25,0,10,0,5,0
Santorini,edu.cmu.cs214.hw3,Player,4,93,0,12,1,27,1,15,1,9
Santorini,edu.cmu.cs214.hw3,Worker,288,530,50,70,34,114,35,41,4,12
Santorini,edu.cmu.cs214.hw3,test,57,0,0,0,12,0,2,0,2,0
Santorini,edu.cmu.cs214.hw3,Grid,68,106,1,7,6,39,5,16,4,13
Santorini,edu.cmu.cs214.hw3,App,234,0,18,0,51,0,12,0,3,0
